"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"146","MotorDown","","point","-3632.616090284631,-1824.368369884865,7919.749910714278","nest_bird","37_2"
"147","MotorDown","","point","-3628.667690813525,-1822.3854091404,7020.020000000004","nest_bird","37_3"
"148","MotorDown","","point","-3608.041488990698,-1812.026541244324,2319.884955357164","nest_bird","37_4"
"149","MotorDown","","point","-3570.831958986444,-1299.67654463752,7020.020000000004","nest_bird","38_1"
"150","MotorDown","","point","-3819.849880319096,-1390.311655801444,7919.749910714278","nest_bird","38_2"
"151","MotorDown","","point","-3815.697970821283,-1388.800484328876,7020.020000000004","nest_bird","38_3"
"152","MotorDown","","point","-3794.008644835232,-1380.906215268658,2319.884955357164","nest_bird","38_4"
"153","MotorDown","","point","-3697.57050820332,-876.3403088212541,7020.020000000004","nest_bird","39_1"
"154","MotorDown","","point","-3955.426753613159,-937.453361630553,7919.749910714278","nest_bird","39_2"
"155","MotorDown","","point","-3951.127481542066,-936.434415431659,7020.020000000004","nest_bird","39_3"
"156","MotorDown","","point","-3928.668342319061,-931.1115016538483,2319.884955357164","nest_bird","39_4"
"157","MotorDown","","point","-3774.305759419371,-441.1530736758561,7020.020000000004","nest_bird","40_1"
"158","MotorDown","","point","-4037.513265535463,-471.9176189297419,7919.749910714278","nest_bird","40_2"
"159","MotorDown","","point","-4033.124771170519,-471.4046775038754,7020.020000000004","nest_bird","40_3"
"160","MotorDown","","point","-4010.19954004026,-468.7251022859435,2319.884955357164","nest_bird","40_4"
"161","MotorDown","","point","-3799.999999999985,1.554667505843099e-11,7020.020000000004","nest_bird","41_1"
"162","MotorDown","","point","-4064.999336830347,1.980993147299159e-11,7919.749910714278","nest_bird","41_2"
"163","MotorDown","","point","-4060.580967029445,1.659827830735594e-11,7020.020000000004","nest_bird","41_3"
"164","MotorDown","","point","-4037.499668415105,1.514877112640534e-11,2319.884955357164","nest_bird","41_4"
"165","MotorDown","","point","-3774.305759419367,441.1530736758904,7020.020000000004","nest_bird","42_1"
"166","MotorDown","","point","-4037.513265535458,471.9176189297848,7919.749910714278","nest_bird","42_2"
"167","MotorDown","","point","-4033.124771170515,471.404677503912,7020.020000000004","nest_bird","42_3"
"168","MotorDown","","point","-4010.199540040256,468.7251022859772,2319.884955357164","nest_bird","42_4"
"169","MotorDown","","point","-3697.570508203313,876.3403088212846,7020.020000000004","nest_bird","43_1"
"170","MotorDown","","point","-3955.42675361315,937.4533616305916,7919.749910714278","nest_bird","43_2"
"171","MotorDown","","point","-3951.127481542058,936.4344154316915,7020.020000000004","nest_bird","43_3"
"172","MotorDown","","point","-3928.668342319053,931.1115016538777,2319.884955357164","nest_bird","43_4"
"173","MotorDown","","point","-3570.831958986433,1299.676544637553,7020.020000000004","nest_bird","44_1"
"174","MotorDown","","point","-3819.849880319081,1390.311655801484,7919.749910714278","nest_bird","44_2"
"175","MotorDown","","point","-3815.697970821271,1388.800484328911,7020.020000000004","nest_bird","44_3"
"176","MotorDown","","point","-3794.00864483522,1380.90621526869,2319.884955357164","nest_bird","44_4"
"177","MotorDown","","point","-3395.804033228946,1705.436884761764,7020.020000000004","nest_bird","45_1"
"178","MotorDown","","point","-3632.616090284613,1824.3683698849,7919.749910714278","nest_bird","45_2"
"179","MotorDown","","point","-3628.66769081351,1822.38540914043,7020.020000000004","nest_bird","45_3"
"180","MotorDown","","point","-3608.041488990684,1812.026541244351,2319.884955357164","nest_bird","45_4"
"181","MotorDown","","point","-3174.853683369137,2088.13411666907,7020.020000000004","nest_bird","46_1"
"182","MotorDown","","point","-3396.257399323413,2233.753631440166,7919.749910714278","nest_bird","46_2"
"183","MotorDown","","point","-3392.565905208445,2231.325697566131,7020.020000000004","nest_bird","46_3"
"184","MotorDown","","point","-3373.281761544583,2218.642316752017,2319.884955357164","nest_bird","46_4"
"185","MotorDown","","point","-2910.968883852095,2442.592916808852,7020.020000000004","nest_bird","47_1"
"186","MotorDown","","point","-3113.970153261205,2612.931207098562,7919.749910714278","nest_bird","47_2"
"187","MotorDown","","point","-3110.585485627581,2610.091133735526,7020.020000000004","nest_bird","47_3"
"188","MotorDown","","point","-3092.904185084097,2595.254760970752,2319.884955357164","nest_bird","47_4"
"189","MotorDown","","point","-2607.718223901167,2764.019837977584,7020.020000000004","nest_bird","48_1"
"190","MotorDown","","point","-2789.57180284176,2956.77337062233,7919.749910714278","nest_bird","48_2"
"191","MotorDown","","point","-2786.539733512881,2953.55956489043,7020.020000000004","nest_bird","48_3"
"192","MotorDown","","point","-2770.70038534764,2936.770836665081,2319.884955357164","nest_bird","48_4"
"193","MotorDown","","point","-2269.202648470566,3048.068132469164,7020.020000000004","nest_bird","49_1"
"194","MotorDown","","point","-2427.449279254353,3260.630246605506,7919.749910714278","nest_bird","49_2"
"195","MotorDown","","point","-2424.810811766427,3257.086169714032,7020.020000000004","nest_bird","49_3"
"196","MotorDown","","point","-2411.027615991217,3238.572124776564,2319.884955357164","nest_bird","49_4"
"197","MotorDown","","point","-1899.999999999977,3290.896534380863,7020.020000000004","nest_bird","50_1"
"198","MotorDown","","point","-2032.499668415154,3520.392692061987,7919.749910714278","nest_bird","50_2"
"199","MotorDown","","point","-2030.290483514706,3516.566271571091,7020.020000000004","nest_bird","50_3"
"200","MotorDown","","point","-2018.749834207537,3496.577280618737,2319.884955357164","nest_bird","50_4"
"201","MotorDown","","point","-1505.103110948775,3489.221206145034,7020.020000000004","nest_bird","51_1"
"202","MotorDown","","point","-1610.063986281073,3732.547865535265,7919.749910714278","nest_bird","51_2"
"203","MotorDown","","point","-1608.31395940406,3728.490847217922,7020.020000000004","nest_bird","51_3"
"204","MotorDown","","point","-1599.171924049014,3707.297227062521,2319.884955357164","nest_bird","51_4"
"205","MotorDown","","point","-1089.852284302125,3640.360146798848,7020.020000000004","nest_bird","52_1"
"206","MotorDown","","point","-1165.854950771364,3894.226732252895,7919.749910714278","nest_bird","52_2"
"207","MotorDown","","point","-1164.587748029155,3889.993980322099,7020.020000000004","nest_bird","52_3"
"208","MotorDown","","point","-1157.967956971394,3867.882338318938,2319.884955357164","nest_bird","52_4"
