"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"165","Center01_Glass","","point","-387.2580318615761,1.431885721103754e-10,4074.518539101237","nest_bird","14_8"
"166","Center01_Glass","","point","-377.5109319243605,-4.632738637155853e-12,3776.074823673408","nest_bird","14_7"
"167","Center01_Glass","","point","-369.6774654031839,-4.462208380573429e-12,3476.563246861045","nest_bird","14_6"
"168","Center01_Glass","","point","-363.8815809572424,-4.263256414560601e-12,3178.017515251804","nest_bird","14_5"
"169","Center01_Glass","","point","-360.0310181474297,1.715250164124882e-10,2878.428438126743","nest_bird","14_4"
"170","Center01_Glass","","point","-358.1755734556763,1.310240804741625e-10,2578.820361981266","nest_bird","14_3"
"171","Center01_Glass","","point","-357.9999999999934,-2.813749233609997e-12,2280.000000000005","nest_bird","14_2"
"172","Center01_Glass","","point","-357.9999999999934,-4.320099833421409e-12,1980.000000000005","nest_bird","14_1"
"173","Center01_Glass","","point","-423.6764048996996,-355.5067150896286,6153.130015505141","nest_bird","12_15"
"174","Center01_Glass","","point","-384.3591186173531,-322.5155946714248,5860.84620454492","nest_bird","12_14"
"175","Center01_Glass","","point","-357.835952639125,-300.2600158814656,5567.133835047682","nest_bird","12_13"
"176","Center01_Glass","","point","-341.815224193993,-286.8170285519651,5269.471834426583","nest_bird","12_12"
"177","Center01_Glass","","point","-328.2991949325871,-275.475733383738,4971.387723420203","nest_bird","12_11"
"178","Center01_Glass","","point","-316.1999345346251,-265.3232484462865,4672.189618259737","nest_bird","12_10"
"179","Center01_Glass","","point","-305.7076775891609,-256.5191995131321,4373.899784452195","nest_bird","12_9"
"180","Center01_Glass","","point","-296.6568633608446,-248.9246646321063,4074.518539101237","nest_bird","12_8"
"181","Center01_Glass","","point","-289.1901516173203,-242.659349562201,3776.074823673408","nest_bird","12_7"
"182","Center01_Glass","","point","-283.1893681184145,-237.6240943414942,3476.563246861045","nest_bird","12_6"
"183","Center01_Glass","","point","-278.7494630456414,-233.8985716324679,3178.017515251804","nest_bird","12_5"
"184","Center01_Glass","","point","-275.7997608024168,-231.4234775678659,2878.428438126743","nest_bird","12_4"
"185","Center01_Glass","","point","-274.3784077067585,-230.2308207095791,2578.820361981266","nest_bird","12_3"
"186","Center01_Glass","","point","-274.2439106365874,-230.1179642677789,2280.000000000005","nest_bird","12_2"
"187","Center01_Glass","","point","-274.2439106365864,-230.11796426778,1980.000000000005","nest_bird","12_1"
"188","Center01_Glass","","point","-96.03964403406505,-544.667887171956,6153.130015505141","nest_bird","10_15"
"189","Center01_Glass","","point","-87.12713879345353,-494.1225582345311,5860.84620454492","nest_bird","10_14"
"190","Center01_Glass","","point","-81.11482517449787,-460.0250333136216,5567.133835047682","nest_bird","10_13"
"191","Center01_Glass","","point","-77.48322086696245,-439.4291818282554,5269.471834426583","nest_bird","10_12"
"192","Center01_Glass","","point","-74.41938577016313,-422.0533095454705,4971.387723420203","nest_bird","10_11"
"193","Center01_Glass","","point","-71.67670610177787,-406.4988002051057,4672.189618259737","nest_bird","10_10"
"194","Center01_Glass","","point","-69.29830454223409,-393.0102146807233,4373.899784452195","nest_bird","10_9"
"195","Center01_Glass","","point","-67.24665151978587,-381.3747121935039,4074.518539101237","nest_bird","10_8"
"196","Center01_Glass","","point","-65.55408537800537,-371.7756926059749,3776.074823673408","nest_bird","10_7"
"197","Center01_Glass","","point","-64.1938181917883,-364.0612340429586,3476.563246861045","nest_bird","10_6"
"198","Center01_Glass","","point","-63.18737341978265,-358.3534021050324,3178.017515251804","nest_bird","10_5"
"199","Center01_Glass","","point","-62.51873020503974,-354.5613379964379,2878.428438126743","nest_bird","10_4"
"200","Center01_Glass","","point","-62.1965356155151,-352.7340816787208,2578.820361981266","nest_bird","10_3"
"201","Center01_Glass","","point","-62.16604760475728,-352.5611755783644,2280.000000000005","nest_bird","10_2"
"202","Center01_Glass","","point","-62.16604760475578,-352.5611755783647,1980.000000000005","nest_bird","10_1"
"203","Center01_Glass","","point","276.535133636859,-478.9729015372341,6153.130015505141","nest_bird","8_15"
"204","Center01_Glass","","point","250.8725975821911,-434.5240852391675,5860.84620454492","nest_bird","8_14"
"205","Center01_Glass","","point","233.560830480142,-404.5392250495796,5567.133835047682","nest_bird","8_13"
"206","Center01_Glass","","point","223.104042633799,-386.427537215743,5269.471834426583","nest_bird","8_12"
"207","Center01_Glass","","point","214.2820810734651,-371.1474515708252,4971.387723420203","nest_bird","8_11"
"208","Center01_Glass","","point","206.3848497139469,-357.4690456170192,4672.189618259737","nest_bird","8_10"
"209","Center01_Glass","","point","199.5365153648708,-345.6073825771971,4373.899784452195","nest_bird","8_9"
"210","Center01_Glass","","point","193.6290159306639,-335.37529341176,4074.518539101237","nest_bird","8_8"
"211","Center01_Glass","","point","188.7554659621841,-326.9340572528317,3776.074823673408","nest_bird","8_7"
"212","Center01_Glass","","point","184.8387327015957,-320.150076245798,3476.563246861045","nest_bird","8_6"
"213","Center01_Glass","","point","181.9407904786248,-315.1306930782137,3178.017515251804","nest_bird","8_5"
"214","Center01_Glass","","point","180.0155090735662,-311.7960078661362,2878.428438126743","nest_bird","8_4"
"215","Center01_Glass","","point","179.0877867277246,-310.1891456277405,2578.820361981266","nest_bird","8_3"
"216","Center01_Glass","","point","178.999999999999,-310.037094554822,2280.000000000005","nest_bird","8_2"
"217","Center01_Glass","","point","179.0000000000003,-310.0370945548212,1980.000000000005","nest_bird","8_1"
"218","Center01_Glass","","point","519.7160489334248,-189.1611720823874,6153.130015505141","nest_bird","6_15"
"219","Center01_Glass","","point","471.4862574107756,-171.6069635631118,5860.84620454492","nest_bird","6_14"
"220","Center01_Glass","","point","438.9507778136307,-159.7650174321547,5567.133835047682","nest_bird","6_13"
"221","Center01_Glass","","point","419.2984450609649,-152.6121532762887,5269.471834426583","nest_bird","6_12"
"222","Center01_Glass","","point","402.7185807027595,-146.5775761617309,4971.387723420203","nest_bird","6_11"
"223","Center01_Glass","","point","387.8766406364067,-141.1755517588185,4672.189618259737","nest_bird","6_10"
"224","Center01_Glass","","point","375.0059821314017,-136.49101516759,4373.899784452195","nest_bird","6_9"
"225","Center01_Glass","","point","363.9035148803482,-132.4500475614473,4074.518539101237","nest_bird","6_8"
"226","Center01_Glass","","point","354.7442369953345,-129.1163430437724,3776.074823673408","nest_bird","6_7"
"227","Center01_Glass","","point","347.3831863102113,-126.4371397014629,3476.563246861045","nest_bird","6_6"
"228","Center01_Glass","","point","341.9368364654322,-124.4548304725631,3178.017515251804","nest_bird","6_5"
"229","Center01_Glass","","point","338.3184910071184,-123.1378604286317,2878.428438126743","nest_bird","6_4"
"230","Center01_Glass","","point","336.5749433220151,-122.5032609691873,2578.820361981266","nest_bird","6_3"
"231","Center01_Glass","","point","336.4099582413499,-122.4432113105846,2280.000000000005","nest_bird","6_2"
"232","Center01_Glass","","point","336.4099582413504,-122.4432113105833,1980.000000000005","nest_bird","6_1"
"233","Center01_Glass","","point","519.7160489335428,189.161172082063,6153.130015505141","nest_bird","4_15"
"234","Center01_Glass","","point","471.4862574107864,171.6069635630821,5860.84620454492","nest_bird","4_14"
"235","Center01_Glass","","point","438.950777813628,159.7650174321621,5567.133835047682","nest_bird","4_13"
"236","Center01_Glass","","point","419.2984450609616,152.6121532762977,5269.471834426583","nest_bird","4_12"
"237","Center01_Glass","","point","402.7185807027564,146.5775761617397,4971.387723420203","nest_bird","4_11"
"238","Center01_Glass","","point","387.8766406364054,141.1755517588221,4672.189618259737","nest_bird","4_10"
"239","Center01_Glass","","point","375.0059821313993,136.4910151675963,4373.899784452195","nest_bird","4_9"
"240","Center01_Glass","","point","363.9035148804462,132.4500475611779,4074.518539101237","nest_bird","4_8"
"241","Center01_Glass","","point","354.7442369953314,129.1163430437807,3776.074823673408","nest_bird","4_7"
"242","Center01_Glass","","point","347.3831863102084,126.4371397014709,3476.563246861045","nest_bird","4_6"
"243","Center01_Glass","","point","341.9368364654293,124.4548304725708,3178.017515251804","nest_bird","4_5"
